dip_threshold,profit_target,stop_loss,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.04,0.01,0.05,0.5183712417109443,1.321268281215459,31.333333333333332,0.035878538927245796
-0.04,0.01,0.03,0.5048079701605723,1.3144949335250482,32.22222222222222,0.035878538927245796
-0.04,0.01,0.02,0.45130095756122796,1.0508848024337256,32.666666666666664,-0.02638606908130492
-0.04,0.015,0.05,0.389076955116414,1.30700156027506,30.666666666666668,-0.29444654415205485
-0.04,0.015,0.03,0.38894633134307216,1.3393375848921414,31.555555555555557,-0.2846676138862444
-0.04,0.02,0.03,0.3571527860973736,1.2744403522271732,31.11111111111111,-0.3419569369722888
-0.04,0.02,0.05,0.34717483528361565,1.2051832874288928,30.0,-0.3730695523549571
-0.04,0.03,0.03,0.345851606262171,1.188366883066965,30.444444444444443,-0.4164909073297616
-0.04,0.015,0.02,0.34480587531000134,1.1078772412881073,32.0,-0.31044392936849274
-0.04,0.03,0.05,0.34228339699362337,1.115509570464778,29.333333333333332,-0.4270770350030968
-0.04,0.02,0.02,0.330356807904763,1.0510929859072782,31.555555555555557,-0.3688744319124041
-0.04,0.03,0.02,0.31909339592942265,0.9915950249028884,30.88888888888889,-0.4074215579000646
-0.03,0.015,0.05,0.2972908069380001,0.9558621052364743,73.11111111111111,-0.3844351724153916
-0.04,0.04,0.05,0.28639762156977955,0.9047127676547658,28.666666666666668,-0.38735538569236505
-0.03,0.01,0.05,0.2830165233953051,0.920378315443644,75.33333333333333,-0.37993689334272496
-0.03,0.02,0.05,0.2507012753229885,0.8777746868250567,69.33333333333333,-0.3942682355159658
-0.04,0.04,0.02,0.14628794916765178,0.6210074156001023,29.77777777777778,-0.37600224412604943
-0.04,0.04,0.03,0.12831758677586033,0.7062890130775359,29.11111111111111,-0.3735676529612668
-0.03,0.015,0.03,0.12494708640671795,0.679056641186125,75.55555555555556,-0.3938871684941645
-0.03,0.01,0.03,0.09841394345952055,0.587598713720435,77.77777777777777,-0.3853618124927082
-0.03,0.02,0.03,0.09547720957652694,0.5465469411183792,74.0,-0.41610157600677333
-0.03,0.015,0.02,0.07351260029422589,0.5647480482744878,81.55555555555556,-0.5142198936671487
-0.03,0.03,0.05,0.07184081415386555,0.33761765169477254,65.55555555555556,-0.5434823356468585
-0.03,0.01,0.02,0.06467717537708634,0.5161577370678044,83.77777777777777,-0.4753415276762063
-0.03,0.02,0.02,0.042533243153364236,0.39740389015884126,80.22222222222223,-0.5967075807212436
-0.03,0.03,0.03,0.03522601055156411,0.24612040213039213,72.44444444444444,-0.5676327527930776
-0.03,0.03,0.02,0.021160037362800206,0.33050678778524495,78.88888888888889,-0.6418634743976579
-0.02,0.04,0.05,-0.01445578987297237,0.09300300792080649,62.0,-0.4989417675155262
-0.02,0.02,0.03,-0.01504826392730401,-0.12611677235464983,200.88888888888889,-0.7232528043656947
-0.02,0.01,0.05,-0.06466712004501617,-0.050827819252874544,192.0,-0.3263486126237184
-0.03,0.04,0.03,-0.06644576442998756,-0.07131628864463159,68.44444444444444,-0.4820046709049308
-0.03,0.04,0.02,-0.07239560247875648,0.040278191610416555,76.66666666666667,-0.6366466536509183
-0.02,0.015,0.05,-0.10919683409634248,-0.19740499604587186,178.66666666666666,-0.7424258338152148
-0.02,0.02,0.05,-0.11212341228735036,-0.24198170505183794,168.44444444444446,-0.7677301364705683
-0.02,0.015,0.03,-0.13112824564647008,-0.25523147189017176,207.55555555555554,-0.7045406887695636
-0.02,0.03,0.05,-0.15359622647331206,-0.27523657250685535,153.77777777777777,-0.7056937541813805
-0.02,0.01,0.03,-0.16290518034971427,-0.34429343503703574,218.88888888888889,-0.7363673269930042
-0.02,0.01,0.02,-0.17404435805468965,-0.45197255741064335,245.11111111111111,-0.7208926651960872
-0.02,0.02,0.02,-0.18593754004904284,-0.4311590430641602,228.44444444444446,-0.7326713914189539
-0.02,0.015,0.02,-0.19273614550010296,-0.48785218080236414,234.66666666666666,-0.656610941461893
-0.02,0.03,0.03,-0.19354887996002854,-0.46085967033908276,187.77777777777777,-0.7694333262576036
-0.02,0.03,0.02,-0.2509520608854428,-0.5983676812565897,219.33333333333334,-0.7382481925535694
-0.015,0.015,0.05,-0.34607556399269374,-0.760693336959234,341.77777777777777,-0.7658035727148741
-0.02,0.04,0.02,-0.35701504469847734,-0.8393837040382697,210.0,-0.7258713410953663
-0.02,0.04,0.05,-0.3610568469576115,-0.6600798623849462,140.88888888888889,-0.7791873113544524
-0.02,0.04,0.03,-0.37193430515998394,-0.8557936362720527,176.44444444444446,-0.792538796803839
-0.015,0.01,0.05,-0.3761469980650637,-0.9637856073065559,374.44444444444446,-0.8293089871559504
-0.015,0.02,0.05,-0.38234250690410354,-0.8388407829109794,306.6666666666667,-0.8058074394723418
-0.015,0.015,0.03,-0.40182932006162175,-1.1520924687920435,422.22222222222223,-0.7862888512984129
