dip_threshold,exit_threshold,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.03,0.01,0.271,0.4,39.2,-0.223
-0.03,0.02,0.25,0.35,35.4,-0.154
-0.07,0.01,0.247,0.55,13.4,0.0
-0.08,0.01,0.246,0.61,9.2,0.0
-0.07,0.02,0.24,0.52,13.0,0.0
-0.07,0.0,0.232,0.53,13.9,0.0
-0.06,0.01,0.232,0.42,17.9,-0.124
-0.06,0.02,0.225,0.38,17.2,-0.055
-0.05,0.0,0.22,0.48,24.6,-0.144
-0.05,0.01,0.219,0.43,22.8,-0.273
-0.03,0.0,0.219,0.36,43.9,-0.186
-0.08,0.02,0.215,0.53,8.8,0.0
-0.05,0.02,0.213,0.37,21.4,-0.206
-0.08,0.0,0.212,0.56,9.2,0.0
-0.06,0.0,0.212,0.41,18.8,-0.073
