dip_threshold,exit_threshold,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.015,0.02,0.074,2.31,8.6,-0.162
-0.015,0.008,0.065,3.29,19.0,-0.05
-0.01,0.02,0.063,1.44,10.3,-0.121
-0.02,0.02,0.056,1.9,6.2,-0.099
-0.015,0.015,0.054,2.14,12.9,-0.096
-0.01,0.008,0.05,1.46,34.4,-0.034
-0.025,0.015,0.046,3.52,5.3,-0.026
-0.02,0.015,0.043,2.06,8.3,-0.044
-0.015,0.01,0.039,2.22,16.8,-0.025
-0.01,0.015,0.037,1.01,17.4,-0.102
-0.02,0.01,0.035,1.86,9.6,-0.041
-0.015,0.005,0.033,2.83,21.3,-0.035
-0.01,0.01,0.032,1.13,28.6,-0.112
-0.02,0.008,0.027,1.9,10.2,-0.048
-0.025,0.01,0.027,1.99,5.8,-0.004
