dip_threshold,exit_threshold,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.07,0.02,0.146,0.62,8.7,-0.053
-0.08,0.02,0.138,0.68,5.8,0.0
-0.06,0.02,0.131,0.5,10.6,-0.045
-0.07,0.01,0.124,0.58,8.7,-0.003
-0.08,0.01,0.123,0.66,5.8,0.0
-0.07,0.0,0.114,0.55,8.9,0.0
-0.06,0.01,0.112,0.52,10.8,0.0
-0.08,0.0,0.108,0.61,5.8,0.0
-0.06,0.0,0.086,0.44,11.0,-0.002
-0.05,0.01,0.075,0.42,11.7,-0.038
-0.05,0.02,0.073,0.36,11.0,-0.115
-0.03,0.02,0.053,0.25,14.7,-0.162
-0.05,0.0,0.045,0.33,11.9,-0.051
-0.03,0.01,0.04,0.23,15.8,-0.135
-0.03,0.0,0.033,0.2,18.2,-0.066
