dip_threshold,exit_threshold,stop_loss,stop_cooldown_bars,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.015,0.008,0.03,78,0.047,2.76,19.0,-0.036
-0.015,0.015,0.03,12,0.046,1.97,15.9,-0.067
-0.015,0.008,0.03,12,0.042,2.65,19.7,-0.035
-0.015,0.015,0.03,39,0.041,1.86,15.2,-0.067
-0.015,0.008,0.03,39,0.04,2.6,19.2,-0.035
-0.015,0.02,0.015,78,0.04,1.05,14.9,-0.078
-0.015,0.008,0.03,156,0.039,2.43,18.3,-0.053
-0.015,0.008,0.015,78,0.039,2.24,19.1,-0.019
-0.015,0.008,0.01,12,0.039,2.44,21.6,-0.046
-0.015,0.008,0.02,12,0.038,2.44,20.7,-0.027
-0.015,0.008,0.02,78,0.037,2.26,19.1,-0.027
-0.015,0.02,0.03,39,0.037,1.51,12.4,-0.156
-0.015,0.015,0.03,78,0.037,1.69,14.3,-0.068
-0.02,0.02,0.03,12,0.036,1.73,8.6,-0.095
-0.02,0.02,0.03,39,0.036,1.73,8.6,-0.095
