dip_threshold,exit_threshold,stop_loss,stop_cooldown_bars,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.08,0.01,0.15,5,0.236,0.6,9.4,0.0
-0.03,0.01,0.15,5,0.232,0.37,41.0,-0.141
-0.08,0.01,0.15,20,0.229,0.59,9.2,0.0
-0.08,0.01,0.15,10,0.226,0.58,9.2,0.0
-0.03,0.01,0.1,5,0.224,0.34,43.7,-0.22
-0.08,0.01,0.15,40,0.222,0.57,9.0,-0.004
-0.08,0.01,0.1,5,0.221,0.56,9.4,0.0
-0.03,0.02,0.1,5,0.216,0.3,40.3,-0.164
-0.08,0.01,0.1,20,0.213,0.55,9.2,0.0
-0.08,0.01,0.1,10,0.213,0.55,9.2,0.0
-0.03,0.02,0.15,5,0.211,0.31,37.4,-0.103
-0.07,0.01,0.1,5,0.21,0.52,14.3,0.0
-0.07,0.02,0.15,5,0.208,0.49,13.4,0.0
-0.07,0.01,0.15,5,0.207,0.51,13.9,0.0
