ticker,window_start,window_end,dip_threshold,profit_target,stop_loss,source,total_return,sharpe,max_drawdown,trades
BTC-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
BTC-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,0.038,1.26,-0.031,2
BTC-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
BTC-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
BTC-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
BTC-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.006999999999999999,1.84,-0.002,2
ETH-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
ETH-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,-0.023,-0.87,-0.057,6
ETH-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,0.006,2.5,-0.002,2
ETH-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.182,3.5,-0.033,10
ETH-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
ETH-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.011000000000000001,1.25,-0.013999999999999999,2
SOL-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.055,3.98,-0.002,6
SOL-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,0.085,2.06,-0.06,14
SOL-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,-0.057999999999999996,-4.24,-0.059000000000000004,2
SOL-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.254,2.77,-0.018000000000000002,6
SOL-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
SOL-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.021,2.04,-0.015,4
DOGE-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.051,4.13,-0.002,8
DOGE-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,0.725,5.17,-0.013999999999999999,16
DOGE-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,0.024,2.2,-0.012,6
DOGE-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.311,2.78,-0.019,6
DOGE-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
DOGE-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.02,2.91,-0.002,4
LTC-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.018000000000000002,2.75,-0.002,4
LTC-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,-0.034,0.49,-0.377,20
LTC-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,0.006,0.77,-0.013999999999999999,2
LTC-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.036000000000000004,2.18,-0.016,4
LTC-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
LTC-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.023,2.95,-0.002,4
AVAX-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.031,3.83,-0.002,6
AVAX-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,0.772,2.77,-0.068,16
AVAX-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,0.017,1.78,-0.018000000000000002,4
AVAX-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.094,4.34,-0.013999999999999999,10
AVAX-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
AVAX-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.059000000000000004,3.73,-0.016,10
LINK-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.042,3.71,-0.002,6
LINK-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,0.46,2.57,-0.318,24
LINK-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,-0.04,-1.79,-0.057999999999999996,6
LINK-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.182,3.29,-0.018000000000000002,8
LINK-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
LINK-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.028999999999999998,2.79,-0.013000000000000001,6
XRP-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.02,2.85,-0.002,4
XRP-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,0.332,3.37,-0.107,12
XRP-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,0.006,1.02,-0.009000000000000001,2
XRP-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.009000000000000001,0.45,-0.061,8
XRP-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.0,,0.0,0
XRP-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.012,1.49,-0.01,2
DOT-USD,2025-08-01,2025-09-30,-0.04,0.01,0.05,alpaca,0.039,4.05,-0.002,6
DOT-USD,2025-09-30,2025-11-29,-0.04,0.01,0.05,alpaca,0.026000000000000002,0.59,-0.096,20
DOT-USD,2025-11-29,2026-01-28,-0.04,0.01,0.05,alpaca,-0.028999999999999998,-1.37,-0.075,8
DOT-USD,2026-01-28,2026-03-29,-0.04,0.01,0.05,alpaca,0.391,3.65,-0.027000000000000003,10
DOT-USD,2026-03-29,2026-05-28,-0.04,0.01,0.05,alpaca,0.008,2.05,-0.002,2
DOT-USD,2026-05-28,2026-07-27,-0.04,0.01,0.05,alpaca,0.035,2.62,-0.018000000000000002,6
