ticker,window_start,window_end,strategy,dip_threshold,exit_threshold,source,total_return,sharpe,max_drawdown,trades
SPY,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,0.099,0.67,-0.061,8
SPY,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,0.059,0.59,-0.043,4
SPY,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,0.075,0.49,-0.099,10
SPY,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,-0.032,0.02,-0.284,8
SPY,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,0.018,0.15,-0.146,18
SPY,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,0.127,1.39,-0.033,8
SPY,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.02,0.16,-0.146,6
AAPL,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,-0.106,-0.26,-0.252,16
AAPL,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,0.054,0.34,-0.08,10
AAPL,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,-0.169,-0.49,-0.348,10
AAPL,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,-0.094,-0.06,-0.259,10
AAPL,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,-0.059,-0.04,-0.212,20
AAPL,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,0.253,1.32,-0.083,18
AAPL,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.175,0.57,-0.183,16
QQQ,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,0.035,0.23,-0.114,10
QQQ,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,0.095,0.69,-0.055,6
QQQ,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,0.15,0.7,-0.092,12
QQQ,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,-0.01,0.09,-0.237,10
QQQ,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,-0.072,-0.1,-0.28,20
QQQ,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,0.196,1.27,-0.077,12
QQQ,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.116,0.5,-0.106,11
JPM,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,0.183,0.72,-0.124,16
JPM,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,0.153,0.99,-0.047,10
JPM,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,0.088,0.48,-0.149,14
JPM,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,0.05,0.26,-0.377,20
JPM,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,-0.015,0.05,-0.189,19
JPM,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,0.257,1.89,-0.049,12
JPM,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.108,0.5,-0.149,14
XOM,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,0.095,0.44,-0.128,15
XOM,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,-0.045,-0.23,-0.145,10
XOM,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,0.03,0.21,-0.124,14
XOM,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,-0.403,-0.78,-0.526,15
XOM,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,0.184,0.68,-0.137,16
XOM,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,0.151,0.76,-0.125,16
XOM,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.223,1.01,-0.108,16
JNJ,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,0.037,0.31,-0.053,7
JNJ,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,0.046,0.36,-0.098,8
JNJ,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,0.055,0.45,-0.08,8
JNJ,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,0.043,0.23,-0.233,10
JNJ,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,0.038,0.27,-0.137,14
JNJ,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,-0.041,-0.27,-0.142,9
JNJ,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.06,0.53,-0.07,6
KO,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,0.091,0.78,-0.043,11
KO,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,-0.014,-0.17,-0.042,2
KO,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,0.118,1.22,-0.026,8
KO,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,-0.015,0.07,-0.357,12
KO,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,0.191,1.11,-0.123,14
KO,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,-0.109,-0.87,-0.152,6
KO,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.153,1.62,-0.016,8
