ticker,dip_threshold,exit_threshold,window_start,window_end,total_return,trades
SPY,-0.015,0.02,2025-07-27,2025-09-17,0.0,0
SPY,-0.015,0.02,2025-09-17,2025-11-08,0.0,0
SPY,-0.015,0.02,2025-11-08,2025-12-30,0.0,0
SPY,-0.015,0.02,2025-12-30,2026-02-20,0.0,0
SPY,-0.015,0.02,2026-02-20,2026-04-13,0.047,2
SPY,-0.015,0.02,2026-04-13,2026-06-04,0.0,0
SPY,-0.015,0.02,2026-06-04,2026-07-27,0.0,0
AAPL,-0.015,0.02,2025-07-27,2025-09-17,0.037000000000000005,3
AAPL,-0.015,0.02,2025-09-17,2025-11-08,0.068,5
AAPL,-0.015,0.02,2025-11-08,2025-12-30,0.022000000000000002,1
AAPL,-0.015,0.02,2025-12-30,2026-02-20,0.113,4
AAPL,-0.015,0.02,2026-02-20,2026-04-13,0.02,2
AAPL,-0.015,0.02,2026-04-13,2026-06-04,0.051,2
AAPL,-0.015,0.02,2026-06-04,2026-07-27,-0.016,2
QQQ,-0.015,0.02,2025-07-27,2025-09-17,0.0,0
QQQ,-0.015,0.02,2025-09-17,2025-11-08,0.017,1
QQQ,-0.015,0.02,2025-11-08,2025-12-30,0.036000000000000004,1
QQQ,-0.015,0.02,2025-12-30,2026-02-20,-0.015,1
QQQ,-0.015,0.02,2026-02-20,2026-04-13,0.016,2
QQQ,-0.015,0.02,2026-04-13,2026-06-04,0.045,1
QQQ,-0.015,0.02,2026-06-04,2026-07-27,-0.034,1
JPM,-0.015,0.02,2025-07-27,2025-09-17,0.07200000000000001,1
JPM,-0.015,0.02,2025-09-17,2025-11-08,0.047,1
JPM,-0.015,0.02,2025-11-08,2025-12-30,0.07,1
JPM,-0.015,0.02,2025-12-30,2026-02-20,-0.016,5
JPM,-0.015,0.02,2026-02-20,2026-04-13,0.0,4
JPM,-0.015,0.02,2026-04-13,2026-06-04,0.012,1
JPM,-0.015,0.02,2026-06-04,2026-07-27,0.099,3
XOM,-0.015,0.02,2025-07-27,2025-09-17,0.038,1
XOM,-0.015,0.02,2025-09-17,2025-11-08,0.016,1
XOM,-0.015,0.02,2025-11-08,2025-12-30,0.006999999999999999,2
XOM,-0.015,0.02,2025-12-30,2026-02-20,0.22399999999999998,5
XOM,-0.015,0.02,2026-02-20,2026-04-13,0.026000000000000002,7
XOM,-0.015,0.02,2026-04-13,2026-06-04,0.006,2
XOM,-0.015,0.02,2026-06-04,2026-07-27,-0.036000000000000004,4
JNJ,-0.015,0.02,2025-07-27,2025-09-17,0.0,0
JNJ,-0.015,0.02,2025-09-17,2025-11-08,0.013000000000000001,1
JNJ,-0.015,0.02,2025-11-08,2025-12-30,0.016,1
JNJ,-0.015,0.02,2025-12-30,2026-02-20,0.21600000000000003,1
JNJ,-0.015,0.02,2026-02-20,2026-04-13,-0.006999999999999999,1
JNJ,-0.015,0.02,2026-04-13,2026-06-04,-0.018000000000000002,1
JNJ,-0.015,0.02,2026-06-04,2026-07-27,0.075,5
KO,-0.015,0.02,2025-07-27,2025-09-17,0.0,0
KO,-0.015,0.02,2025-09-17,2025-11-08,0.0,0
KO,-0.015,0.02,2025-11-08,2025-12-30,0.0,0
KO,-0.015,0.02,2025-12-30,2026-02-20,0.027000000000000003,1
KO,-0.015,0.02,2026-02-20,2026-04-13,0.013000000000000001,1
KO,-0.015,0.02,2026-04-13,2026-06-04,0.039,2
KO,-0.015,0.02,2026-06-04,2026-07-27,0.07,5
CAT,-0.015,0.02,2025-07-27,2025-09-17,0.02,4
CAT,-0.015,0.02,2025-09-17,2025-11-08,0.251,7
CAT,-0.015,0.02,2025-11-08,2025-12-30,0.017,2
CAT,-0.015,0.02,2025-12-30,2026-02-20,0.17,11
CAT,-0.015,0.02,2026-02-20,2026-04-13,0.04,12
CAT,-0.015,0.02,2026-04-13,2026-06-04,0.092,6
CAT,-0.015,0.02,2026-06-04,2026-07-27,0.053,14
DIS,-0.015,0.02,2025-07-27,2025-09-17,0.034,3
DIS,-0.015,0.02,2025-09-17,2025-11-08,0.0,0
DIS,-0.015,0.02,2025-11-08,2025-12-30,0.039,1
DIS,-0.015,0.02,2025-12-30,2026-02-20,-0.055,3
DIS,-0.015,0.02,2026-02-20,2026-04-13,-0.052000000000000005,2
DIS,-0.015,0.02,2026-04-13,2026-06-04,-0.078,1
DIS,-0.015,0.02,2026-06-04,2026-07-27,-0.024,1
