ticker,window_start,window_end,strategy,dip_threshold,exit_threshold,source,total_return,sharpe,max_drawdown,trades
SPY,2015-01-01,2016-07-27,ml_filtered,-0.07,0.02,yahoo,0.049,0.49,-0.056,2
SPY,2016-07-27,2018-02-20,ml_filtered,-0.07,0.02,yahoo,0.058,1.68,0.0,1
SPY,2018-02-20,2019-09-16,ml_filtered,-0.07,0.02,yahoo,0.067,0.74,-0.028,2
SPY,2019-09-16,2021-04-11,ml_filtered,-0.07,0.02,yahoo,-0.108,-0.22,-0.283,2
SPY,2021-04-11,2022-11-05,ml_filtered,-0.07,0.02,yahoo,0.117,1.1,-0.046,4
SPY,2022-11-05,2024-06-01,ml_filtered,-0.07,0.02,yahoo,0.0,,0.0,0
AAPL,2015-01-01,2016-07-27,ml_filtered,-0.07,0.02,yahoo,-0.088,-0.28,-0.182,6
AAPL,2016-07-27,2018-02-20,ml_filtered,-0.07,0.02,yahoo,0.078,0.75,-0.048,2
AAPL,2018-02-20,2019-09-16,ml_filtered,-0.07,0.02,yahoo,-0.207,-0.78,-0.32,4
AAPL,2019-09-16,2021-04-11,ml_filtered,-0.07,0.02,yahoo,-0.023,0.09,-0.259,6
AAPL,2021-04-11,2022-11-05,ml_filtered,-0.07,0.02,yahoo,0.158,0.67,-0.171,8
AAPL,2022-11-05,2024-06-01,ml_filtered,-0.07,0.02,yahoo,-0.002,0.01,-0.077,2
QQQ,2015-01-01,2016-07-27,ml_filtered,-0.07,0.02,yahoo,0.046,0.34,-0.077,4
QQQ,2016-07-27,2018-02-20,ml_filtered,-0.07,0.02,yahoo,0.073,1.59,-0.004,1
QQQ,2018-02-20,2019-09-16,ml_filtered,-0.07,0.02,yahoo,0.08,0.73,-0.033,2
QQQ,2019-09-16,2021-04-11,ml_filtered,-0.07,0.02,yahoo,0.029,0.19,-0.224,4
QQQ,2021-04-11,2022-11-05,ml_filtered,-0.07,0.02,yahoo,-0.065,-0.13,-0.178,8
QQQ,2022-11-05,2024-06-01,ml_filtered,-0.07,0.02,yahoo,0.0,,0.0,0
